geo_point_2d;geo_shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;wms_time
48.10377997505854,-1.6746532212963805;"{""coordinates"": [-1.674653221296381, 48.10377997505854], ""type"": ""Point""}";accident.3914;3914;3488;Sécurité publique 0035238 00184;2018-04-17;13:43;Mardi;35238;hors intersection;BEAUMONT (BD DE);;;0;;;0;VL;Bicyclette;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;2018-01-01
48.10493999904592,-1.6671000000011835;"{""coordinates"": [-1.667100000001184, 48.10493999904592], ""type"": ""Point""}";accident.4749;4749;70829;SP/35238/115;2021-04-07;08:50;Mercredi;35238;Autre;SOLFERINO (BD);N/C;Bd Solférino;;;;;Bicyclette;;;;;;Conducteur;;;;;;;;0;0;1;2021-01-01
48.07990995921228,-1.6831199574888216;"{""coordinates"": [-1.683119957488822, 48.07990995921228], ""type"": ""Point""}";accident.3937;3937;3374;Sécurité publique 0035238 00057;2018-01-20;16:00;Samedi;35206;hors intersection;RN136;;;0;;;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2018-01-01
48.14019999904655,-1.6281799999978912;"{""coordinates"": [-1.628179999997891, 48.14019999904655], ""type"": ""Point""}";accident.3943;3943;63459451;SP/35238/348;2019-09-10;19:00;Mardi;35051;Giratoire;LONGCHAMPS (PORTE DES);23+625;LONGCHAMPS (PORTE DES);;45+965;LONGCHAMPS (PORTE DES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;;;;;;;;0;0;1;2019-01-01
48.11377899904947,-1.718784000002065;"{""coordinates"": [-1.718784000002065, 48.11377899904947], ""type"": ""Point""}";accident.3954;3954;63456870;SP/35238/239;2019-06-29;17:30;Samedi;35238;Autre;RN136;14+899;RN136;;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2019-01-01
48.10191999904315,-1.6842300000007648;"{""coordinates"": [-1.684230000000765, 48.10191999904315], ""type"": ""Point""}";accident.3960;3960;66531779;SP/35238/20;2020-01-20;13:15;Lundi;35238;Autre;NITSCH (CARREFOUR GEORGES);N/C;NITSCH (CARREFOUR GEORGES);;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.10690999904457,-1.6707499999997362;"{""coordinates"": [-1.670749999999736, 48.10690999904457], ""type"": ""Point""}";accident.3961;3961;63476226;SP/35238/254;2019-07-07;18:20;Dimanche;35238;En X;SAINT-HELIER;N/C;SAINT-HELIER;;0+0;SAINT-HELIER;;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.127149999044825,-1.6288399999966823;"{""coordinates"": [-1.628839999996682, 48.127149999044825], ""type"": ""Point""}";accident.3997;3997;66515899;SP/35238/303;2020-09-26;17:00;Samedi;35051;En X;BUTTES DE COESMES (AVENUE DES);0+0;BUTTES DE COESMES (AVENUE DES);;0+0;BUTTES DE COESMES (AVENUE DES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.0973869370061,-1.6751501027552642;"{""coordinates"": [-1.675150102755264, 48.0973869370061], ""type"": ""Point""}";accident.3999;3999;320;Sécurité publique 0035238 00115;2015-03-10;09:25;Mardi;35238;En X;J.CARTIER/ALMA;;Boulevard Jacques Cartier;104;;Rue de l'Alma;104;VL;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;2015-01-01
48.10283247139107,-1.7152196204814072;"{""coordinates"": [-1.715219620481407, 48.10283247139107], ""type"": ""Point""}";accident.4004;4004;63479194;SP/35238/414;2019-10-22;14:45;Mardi;35238;En Y;VALLES (JULES);13+600;VALLES (JULES);;0+0;VALLES (JULES);;Véhicule de tourisme (VT);VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.10978899856091,-1.6984936256659493;"{""coordinates"": [-1.698493625665949, 48.10978899856091], ""type"": ""Point""}";accident.4012;4012;1914;Sécurité publique 0035238 00275;2016-06-28;08:20;Mardi;35238;En T;L.GUILLOUX/TOURNEMINE;;Rue Louis Guilloux;0;;Rue Tournemine;0;VL;motocyclette >50 et <=125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
