geo_point_2d,geo_shape,gml_id,objectid,accident,unite_pv,date,heure,jsem,code_insee,inter,adresse,pr,nomv,numvro,pr_2,nomv_2,numvro_2,vehicule1,vehicule2,vehicule3,vehicule4,vehicule5,vehicule6,usager1,usager2,usager3,usager4,usager5,usager6,usager7,usager8,ntu,nbh,nbnh,wms_time,id
"48.10377997505854,-1.6746532212963805","{""coordinates"": [-1.674653221296381, 48.10377997505854], ""type"": ""Point""}",accident.3914,3914,3488,Sécurité publique 0035238 00184,2018-04-17,13:43,Mardi,35238,hors intersection,BEAUMONT (BD DE),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Passager,Conducteur,,,,,,0,0,1,2018-01-01,1
"48.10493999904592,-1.6671000000011835","{""coordinates"": [-1.667100000001184, 48.10493999904592], ""type"": ""Point""}",accident.4749,4749,70829,SP/35238/115,2021-04-07,08:50,Mercredi,35238,Autre,SOLFERINO (BD),N/C,Bd Solférino,,,,,Bicyclette,,,,,,Conducteur,,,,,,,,0,0,1,2021-01-01,2
"48.10690999904457,-1.6707499999997362","{""coordinates"": [-1.670749999999736, 48.10690999904457], ""type"": ""Point""}",accident.3961,3961,63476226,SP/35238/254,2019-07-07,18:20,Dimanche,35238,En X,SAINT-HELIER,N/C,SAINT-HELIER,,0+0,SAINT-HELIER,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,3
"48.09481999904801,-1.690139999995636","{""coordinates"": [-1.690139999995636, 48.09481999904801], ""type"": ""Point""}",accident.4031,4031,66534032,SP/35238/373,2020-11-12,12:40,Jeudi,35238,En X,NANTES (DE),N/C,NANTES (DE),,N/C,NANTES (DE),,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2020-01-01,4
"48.08717088831871,-1.6216813107320038","{""coordinates"": [-1.621681310732004, 48.08717088831871], ""type"": ""Point""}",accident.4100,4100,1291,Sécurité publique 0035238 00323,2016-07-26,13:07,Mardi,35055,En T,GRANIER/DEUX RUISSEAUX,,Place du Granier,19,,Avenue des Deux Ruisseaux,19.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,5
"48.11175999905148,-1.6802699999966113","{""coordinates"": [-1.680269999996611, 48.11175999905148], ""type"": ""Point""}",accident.4206,4206,63440374,SP/35238/501,2019-12-13,00:50,Vendredi,35238,En X,HORLOGE (DE L'),0+0,HORLOGE (DE L'),,0+0,HORLOGE (DE L'),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2019-01-01,6
"48.12064542380366,-1.6720371810651289","{""coordinates"": [-1.672037181065129, 48.12064542380366], ""type"": ""Point""}",accident.4216,4216,3622,Sécurité publique 0035238 00402,2018-10-03,18:15,Mercredi,35238,En T,ANTRAIN (D') DE 43 ET 80,,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,7
"48.109765781348685,-1.6891891323769732","{""coordinates"": [-1.689189132376973, 48.109765781348685], ""type"": ""Point""}",accident.4223,4223,3514,Sécurité publique 0035238 00203,2018-05-10,23:40,Jeudi,35238,En X,MITTERAND (MAIL FRANCOIS,,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,8
"48.10794891820053,-1.6736021531108016","{""coordinates"": [-1.673602153110802, 48.10794891820053], ""type"": ""Point""}",accident.4298,4298,551,Sécurité publique 0035238 00185,2014-04-09,07:40,Mercredi,35238,En X,JANVIER/LIBERTÉ,,Avenue Jean Janvier,0,,Rue Saint-Thomas,0.0,Bicyclette,Autocar,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,9
"48.0676799657586,-1.621310050647393","{""coordinates"": [-1.621310050647393, 48.0676799657586], ""type"": ""Point""}",accident.4326,4326,1843,Gendarmerie Nationale 0010930 01494,2015-06-27,23:30,Samedi,35352,hors intersection,,0031+0718,,,,,,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,1,0,0,2015-01-01,10
"48.12143082577939,-1.682978702056919","{""coordinates"": [-1.682978702056919, 48.12143082577939], ""type"": ""Point""}",accident.4348,4348,2306,Sécurité publique 0035238 00562,2012-11-15,12:50,Jeudi,35238,En Y,ST MALO/TASSIGNY,,RUE DE SAINT-MALO,0,,BOULEVARD MARECHAL DE LATTRE DE TASSIGNY,0.0,"PL seul PTAC > 7,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,11
