Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infrasituenv1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200900000011,9,1,23,1400,1,2,6,1.0,1,154,RD PT ANCIENS COMBATTANT,M,4,-,440.0,4,0.0,,,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,100.0,1.0,1,4,1,0.0,1.0,0.0,0.0,0.0,1972.0,B02,0,1,0,12.0,2.0,8.0,1.0,B02
200900000040,9,1,11,1530,1,2,3,1.0,3,101,16, QUAI DES TUILERIES,,,750.0,4,0.0,,,1.0,3.0,,,0.0,1.0,1.0,0.0,200.0,1.0,100.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1983.0,A01,0,1,0,0.0,2.0,4.0,16.0,A01
200900000054,9,1,31,1215,1,2,3,1.0,7,113,BOULEVARD AUGUSTE BLANQU,,,,750.0,4,0.0,,,1.0,3.0,,,1.0,1.0,0.0,0.0,106.0,1.0,100.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1974.0,A01,0,1,0,0.0,0.0,0.0,21.0,A01
200900000123,9,1,21,910,1,2,1,1.0,7,106,13, QUAI MALAQUAIS,,,750.0,4,0.0,,,1.0,4.0,,,1.0,1.0,1.0,32.0,0.0,1.0,103.0,1.0,1,4,2,1.0,93.0,0.0,0.0,0.0,1954.0,A01,0,1,0,12.0,0.0,0.0,0.0,A01
200900000160,9,1,4,1240,1,2,2,1.0,6,105,139, BOULEVARD SAINT MIC,,,750.0,4,0.0,,,2.0,4.0,,,3.0,1.0,1.0,0.0,109.0,1.0,500.0,,3,4,2,5.0,,4.0,3.0,1.0,1945.0,A01,0,1,0,0.0,1.0,1.0,7.0,A01
200900000169,9,1,21,1235,1,2,1,1.0,3,111,6, RUE LEON FROT,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,80.0,1.0,100.0,1.0,1,4,2,1.0,21.0,0.0,0.0,0.0,1970.0,B01,0,1,0,1.0,0.0,7.0,1.0,B01
200900000171,9,1,30,950,1,2,1,1.0,7,112,RUE DU CHAROLAIS,,,,750.0,4,0.0,,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,30.0,7.0,100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1974.0,A01,0,1,0,0.0,0.0,0.0,1.0,A01
200900000200,9,1,29,1943,5,2,1,1.0,3,106,RUE DE L ANCIENNE COMEDI,,,,750.0,4,0.0,,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,64.0,1.0,100.0,1.0,1,4,2,4.0,23.0,0.0,0.0,0.0,1980.0,B01,0,1,0,0.0,2.0,1.0,1.0,B01
200900000205,9,1,14,950,1,2,1,2.0,3,112,35, AVENUE DE SAINT MAND,,,750.0,4,0.0,,,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,2.0,400.0,1.0,1,4,2,1.0,23.0,0.0,0.0,0.0,1974.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
200900000227,9,1,16,1115,1,2,1,1.0,3,116,RUE DU RANELAGH,,,,750.0,4,0.0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,60.0,6.0,100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1976.0,B01,0,1,0,0.0,2.0,3.0,15.0,B01
200900000255,9,1,16,740,1,2,2,1.0,3,109,RUE DE DUNKERQUE,,,,750.0,4,0.0,,,1.0,2.0,,,0.0,2.0,1.0,0.0,0.0,0.0,100.0,1.0,1,3,1,1.0,23.0,0.0,0.0,0.0,1953.0,A01,0,1,0,0.0,2.0,2.0,1.0,A01
200900000268,9,1,13,1700,5,2,3,2.0,7,115,103, QUAI BRANLY,,,750.0,4,0.0,,,0.0,1.0,,,1.0,1.0,3.0,0.0,40.0,2.0,599.0,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1976.0,A01,0,1,0,0.0,0.0,0.0,16.0,A01
