Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
201500000246,15,6,15,1845,1,2,1,1,6,473,rue de l'église de ber,M,5061111.0,247597.0,620,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,64.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,2000.0,A01,0,1,0,1.0,0.0,1.0,1.0,A01
201500000389,15,1,6,1500,1,2,1,1,3,163,rue Emile Morlot,M,4897712.0,328837.0,20,4,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,1.0,0.0,1.0,99.0,1.0,1,3,2,1.0,21.0,0.0,0.0,0.0,1996.0,A01,0,1,0,0.0,2.0,8.0,1.0,A01
201500000486,15,4,19,1115,1,1,9,1,3,360,,M,4932925.0,246802.0,600,3,62.0,,,2.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1940.0,A01,0,1,0,0.0,2.0,8.0,15.0,A01
201500000568,15,7,20,600,2,1,1,2,2,594,,M,4949164.0,101455.0,760,3,6015.0,,A,2.0,2.0,23.0,100.0,0.0,1.0,1.0,0.0,97.0,2.0,0.0,1.0,0.0,1.0,1,3,2,1.0,22.0,0.0,0.0,0.0,1954.0,B02,0,1,0,0.0,2.0,4.0,2.0,B02
201500000602,15,9,6,1130,1,2,2,1,3,636,D43,M,4950109.0,93159.0,760,3,43.0,,,2.0,2.0,5.0,82.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1979.0,A01,0,1,0,0.0,2.0,7.0,1.0,A01
201500000612,15,6,21,1715,1,1,1,1,3,268,,M,4968543.0,32054.0,760,3,79.0,,,2.0,0.0,24.0,800.0,0.0,2.0,2.0,0.0,50.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1954.0,B02,0,1,0,0.0,0.0,0.0,13.0,B02
201500000693,15,6,11,700,1,2,3,1,1,611,Rue Abbé Pierre Deleau,M,4964853.0,89460.0,760,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0,1.0,1,3,1,0.0,21.0,0.0,0.0,0.0,1991.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
201500000740,15,11,4,1330,1,2,1,1,1,495,,M,4925179.0,135426.0,270,3,313.0,,,2.0,2.0,33.0,285.0,0.0,1.0,1.0,540.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,,0.0,0.0,0.0,1938.0,B02,0,1,0,0.0,2.0,1.0,1.0,B02
201500000789,15,11,28,1130,1,1,1,1,3,22,,M,4919361.0,133205.0,270,3,65.0,,,2.0,2.0,21.0,25.0,0.0,2.0,3.0,0.0,580.0,2.0,0.0,1.0,0.0,1.0,1,3,1,3.0,21.0,0.0,0.0,0.0,1949.0,B02,0,1,0,0.0,2.0,4.0,2.0,B02
201500000798,15,9,2,1900,2,1,6,7,3,196,,M,4929714.0,117494.0,270,3,77.0,,,0.0,1.0,14.0,595.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1986.0,A01,0,1,0,0.0,2.0,7.0,1.0,A01
201500000835,15,7,31,945,1,1,2,7,1,67,,M,4821665.0,-159149.0,350,3,528.0,,,2.0,2.0,8.0,150.0,0.0,2.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1963.0,A01,0,1,0,0.0,2.0,8.0,1.0,A01
201500000847,15,10,29,900,1,1,1,1,5,133,La Croix,M,4810850.0,-203600.0,350,3,61.0,,,2.0,0.0,19.0,500.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1,3,2,5.0,21.0,0.0,0.0,0.0,1951.0,B02,0,1,0,0.0,0.0,1.0,0.0,B02
201500000853,15,7,30,1600,1,2,6,7,3,37,rond-point de Chauny,M,4804564.0,-187283.0,350,3,36.0,,,2.0,0.0,15.0,300.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1958.0,B02,0,1,0,0.0,2.0,4.0,2.0,B02
