Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_usager,id_vehicule_x,num_veh_x,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,id_vehicule_y,num_veh_y,senc,catv,obs,obsm,choc,manv,motor,occutc
202200000016,21,10,2022,16:32,1,75,75106,2,1,1,3,RUE DE VAUGIRARD,"48,8479990000","2,3301760000",4,RUE DE VAUGIRARD,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30,1 099 662,813 926,A01,1,1,1,2,1960.0,4,8,0,-1,0,0,-1,813 927,B01,2,1,0,2,1,1,5,
202200000016,21,10,2022,16:32,1,75,75106,2,1,1,3,RUE DE VAUGIRARD,"48,8479990000","2,3301760000",4,RUE DE VAUGIRARD,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30,1 099 663,813 927,B01,1,1,4,1,1982.0,9,8,0,-1,0,0,-1,813 927,B01,2,1,0,2,1,1,5,
202200000017,20,10,2022,13:00,1,75,75105,2,2,1,3,BOULEVARD SAINT GERMAIN,"48,8513870000","2,3431860000",4,BOULEVARD SAINT GERMAIN,0,,1,3,1,1,(1),(1),1,, -1,1,0,5,30,1 099 660,813 924,A01,1,1,1,1,2002.0,4,1,0,-1,0,0,-1,813 925,B01,2,1,0,2,0,1,5,
202200000017,20,10,2022,13:00,1,75,75105,2,2,1,3,BOULEVARD SAINT GERMAIN,"48,8513870000","2,3431860000",4,BOULEVARD SAINT GERMAIN,0,,1,3,1,1,(1),(1),1,, -1,1,0,5,30,1 099 661,813 925,B01,1,1,4,1,2003.0,5,8,0,-1,0,0,-1,813 925,B01,2,1,0,2,0,1,5,
202200000025,21,10,2022,11:25,1,75,75113,2,4,1,6,BOULEVARD KELLERMANN,"48,8210280000","2,3545150000",4,BOULEVARD KELLERMANN,0,,2,6,1,2,(1),(1),2,, -1,2,0,5,50,1 099 647,813 913,A01,1,1,3,1,1961.0,9,8,0,-1,-1, -1,-1,813 913,A01,1,1,9,0,0,1,5,
202200000027,21,10,2022,15:50,1,75,75103,2,2,1,6,RUE DE TURENNE,"48,8613270000","2,3646020000",4,RUE DE TURENNE,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30,1 099 642,813 910,Z01,10,3,4,2,1990.0,5,0,-1,-1,4,3,1,813 910,Z01,1,1,0,1,1,1,5,
202200000027,21,10,2022,15:50,1,75,75103,2,2,1,6,RUE DE TURENNE,"48,8613270000","2,3646020000",4,RUE DE TURENNE,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,30,1 099 643,813 910,Z01,1,1,1,-1,,-1,-1,-1,-1,-1, -1,-1,813 910,Z01,1,1,0,1,1,1,5,
202200000046,21,10,2022,19:40,5,93,93049,2,2,1,3,Avenue Jean Jaurès / Avenue Victor Hugo,"48,8587000000","2,5065400000",4,JEAN JAURES (AVENUE),0,,1,2,0,1,0,0,1,, -1,1,0,1,30,1 099 598,813 883,B01,1,1,4,1,1988.0,1,0,0,-1,0,0,-1,813 883,B01,3,1,0,2,0,1,5,
202200000046,21,10,2022,19:40,5,93,93049,2,2,1,3,Avenue Jean Jaurès / Avenue Victor Hugo,"48,8587000000","2,5065400000",4,JEAN JAURES (AVENUE),0,,1,2,0,1,0,0,1,, -1,1,0,1,30,1 099 599,813 884,A01,1,1,1,2,1974.0,5,1,0,-1,0,0,-1,813 883,B01,3,1,0,2,0,1,5,
202200000058,21,10,2022,20:00,5,92,92048,2,1,1,2,JEAN JAURES (AVENUE) N° 8 A 72,"48,8128800000","2,2462000000",4,,0,,2,2,0,4,0,0,1,, -1,1,0,1,50,1 099 576,813 865,A01,1,1,4,2,1990.0,1,8,0,-1,0,0,-1,813 865,A01,0,1,0,2,2,1,5,
202200000058,21,10,2022,20:00,5,92,92048,2,1,1,2,JEAN JAURES (AVENUE) N° 8 A 72,"48,8128800000","2,2462000000",4,,0,,2,2,0,4,0,0,1,, -1,1,0,1,50,1 099 577,813 866,B01,1,1,1,1,1960.0,1,1,5,-1,-1, -1,-1,813 865,A01,0,1,0,2,2,1,5,
202200000060,21,10,2022,09:26,1,92,92060,2,1,2,3,ARTHUR RANC (RUE),"48,7844900000","2,2748800000",4,,0,,1,1,0,1,0,0,1,, -1,2,0,4,30,1 099 572,813 861,A01,1,1,1,2,1967.0,0,8,0,-1,-1, -1,-1,813 862,B01,2,1,0,2,7,1,5,
202200000060,21,10,2022,09:26,1,92,92060,2,1,2,3,ARTHUR RANC (RUE),"48,7844900000","2,2748800000",4,,0,,1,1,0,1,0,0,1,, -1,2,0,4,30,1 099 573,813 862,B01,1,1,4,1,1976.0,0,2,0,-1,-1, -1,-1,813 862,B01,2,1,0,2,7,1,5,
202200000062,21,10,2022,14:40,1,92,92012,2,1,1,3,THIERS (RUE) 1/65,"48,8371210000","2,2483650000",4,,0,,2,1,0,1,0,0,1,, -1,1,0,1,50,1 099 568,813 858,A01,1,1,1,1,2000.0,0,1,0,-1,-1, -1,-1,813 859,B01,1,1,0,2,0,1,5,
202200000062,21,10,2022,14:40,1,92,92012,2,1,1,3,THIERS (RUE) 1/65,"48,8371210000","2,2483650000",4,,0,,2,1,0,1,0,0,1,, -1,1,0,1,50,1 099 569,813 859,B01,1,1,4,1,1991.0,5,8,0,-1,-1, -1,-1,813 859,B01,1,1,0,2,0,1,5,
